,total_crypto_borrow,total_crypto_collateral,total_external_crypto_lending,total_stablecoin_borrow,total_stablecoin_collateral,total_external_stablecoin_lending,total_stake_borrow,total_stake_collateral,total_external_stake_lending,weighted_crypto_rate,weighted_stablecoin_rate,weighted_stake_rate,date
229,476405911.5981505,708817431.605941,209435861.64630607,480528959.7253957,106224385.59852976,455350588.23679304,18685593.358636368,1193165061.67241,34708447.62891197,0.01504608025193483,0.049479463165070015,0.00047661786791280367,2023-09-18
230,497887127.6037482,713093042.2559254,208851658.79371974,485573131.2473777,109595846.36988236,458761770.46514446,18136464.235271625,1216587527.1825411,34382096.01243054,0.016362673196939573,0.03179845649745186,0.0004752767754987968,2023-09-19
231,482725119.160988,715303912.8597064,222754265.731374,496971646.9551626,114608225.2050478,465365224.54950535,18178072.684192672,1186857732.719248,34576486.41226313,0.014732887482503385,0.03224976553952391,0.0004964111332973105,2023-09-20
232,484813929.4863264,712281640.2275062,222485043.81693628,496821310.7878654,119056981.58557388,469233234.48115337,18124077.719668694,1181037513.2998805,34963501.73510549,0.01511438587025518,0.02832745302231528,0.0004878715045091131,2023-09-21
233,506853736.2780114,712758344.8591763,218044169.2052694,498893459.61792904,116967925.49821377,470284203.5656651,18112318.081951708,1210519617.8661366,35548818.11374044,0.01674429733443891,0.037251545773113,0.0005318020607004545,2023-09-22
234,513584917.5033413,713937215.9780836,216723775.29517367,500991923.6463894,116830835.44126816,471170748.9773132,18066270.24390518,1220355766.4568737,33117299.914379865,0.017208421281838766,0.03826764438790561,0.0005725782806560548,2023-09-23
235,508309678.6634265,712879802.5035206,220544318.6795796,500178759.91907996,116271463.17692819,472506971.5995218,18073613.714380164,1214691159.525323,32706155.65682889,0.016954415264443915,0.028787597511881837,0.0005097511568060861,2023-09-24
236,514547347.1943903,716791105.7627398,222027299.22711262,503820695.3720304,116630035.02757424,507321298.3571924,18209677.169485066,1227129174.9927142,32698360.998991363,0.01717874627674662,0.02831131899378869,0.0005098138197516119,2023-09-25
237,511659932.9871167,719863002.1134632,220218308.8648503,507487430.7934915,117203362.2624714,507166082.64863557,18587719.160874262,1228789568.1426485,32337208.68482279,0.01688274738442376,0.029139718658798632,0.0005180214192873269,2023-09-26
238,518748920.53955394,722666297.9527085,219641907.09583917,512528305.5597058,113192956.34255299,515873006.5326004,18950983.499178454,1246735316.2035012,32320290.79448933,0.01738803657496517,0.026087318788915487,0.0005157444098275676,2023-09-27
239,514725921.23950845,752256962.0363814,217031335.0511983,524201215.45094687,109832386.08645426,514370259.29080725,19941421.471214402,1244679910.540266,34405871.09522042,0.016441968917372634,0.03089194666024471,0.0005126730304248615,2023-09-28
240,527965401.6940196,748859849.5005814,226365598.74225694,532068072.5600868,111232232.51732396,521116632.12149173,18011818.680744298,1270982285.3137794,35250244.136130005,0.017373549137581455,0.05208988331489754,0.00040801798203148943,2023-09-29
241,528186570.13608956,718625936.8476889,258837822.90014794,519981070.6365248,114670332.64081176,492658492.4760311,18027307.72708489,1265347443.4943612,35508584.63835874,0.015837033357230655,0.03884853559205184,0.0004090930712244275,2023-09-30
242,533310695.02644765,730005774.0532339,262439381.55113265,514484398.04910237,113826168.13653675,495390712.5653351,18135340.16250751,1277940925.271152,35030190.91734762,0.015458703660202232,0.028670674162376755,0.000422245953939209,2023-10-01
243,526758871.2870565,770035287.9458677,253148049.59013513,537951738.7264447,118661334.65167509,504401155.23290294,18848152.778779607,1275582210.241006,34825903.467160575,0.014074122841390858,0.043787441997191756,0.0004167055611908346,2023-10-02
244,529187014.2183054,780734543.2719646,229118055.91910103,539652706.5176498,111918212.659137,522289224.5146476,20240660.30694986,1305597942.0414188,36790689.48086359,0.015279214130013,0.029162776770508603,0.000400175915888463,2023-10-03
