total_crypto_borrow,total_crypto_collateral,total_external_crypto_lending,total_stablecoin_borrow,total_stablecoin_collateral,total_external_stablecoin_lending,weighted_crypto_rate,weighted_stablecoin_rate,date,day
529091187.18996066,2096725870.926127,241361776.0101971,544703624.5292842,114447605.6612107,525767552.5784997,0.014500524414177,0.0289649407447447,2023-10-13,254
529681171.7701175,2097992510.363933,241357407.8676452,551780453.9113252,115153752.59300442,530915914.88508594,0.0144864233250614,0.0340908249655851,2023-10-14,255
530632210.5874168,2101261278.991853,239554464.9688677,552353208.751977,114466801.97523126,531849515.4810488,0.0145791315670311,0.0425092184667397,2023-10-15,256
529830188.7723633,2161819518.6230135,232820433.89671397,572105118.6237521,122741986.9993319,524554208.7599429,0.0137341524905699,0.1155928900878581,2023-10-16,257
561057321.3229312,2228641109.059085,226321880.8883826,572399117.8308959,114926771.905199,545515797.6809763,0.0155310411732319,0.0570228126003158,2023-10-17,258
570688180.7400478,2222536714.73392,247428324.85968864,570610946.48599,113166364.75590612,555675653.3006771,0.0165332694446957,0.0409478197431499,2023-10-18,259
560169668.6968223,2215086867.814951,269016604.9804629,572341503.817604,115812752.0530408,553324120.5081618,0.0149396638985007,0.0393777779962901,2023-10-19,260
573509023.068979,2231428936.1992307,232494993.21038592,578759269.4293131,116420271.99819508,556079674.9538505,0.0162856985822851,0.0446207536357091,2023-10-20,261
568591822.6792417,2246037427.3529615,256767043.74099016,581238230.1349589,113598865.70282689,574479468.7695695,0.0142907139025376,0.0347713541081396,2023-10-21,262
588156268.8573691,2285352758.341305,255700942.9239974,592920002.5080227,113849601.66312017,580868234.6720723,0.0144062476413447,0.0319017660543735,2023-10-22,263
601639309.7709557,2335653512.2599025,257857488.59921637,593542152.8702775,113695500.273101,567241918.460369,0.0137287318152785,0.0755821017584212,2023-10-23,264
611503561.5259504,2362966347.0282197,243335092.99892265,597767509.0581802,108344602.32554226,581819360.7168558,0.0144223884650094,0.0626600715122168,2023-10-24,265
611124231.9734881,2376802929.908582,243681237.9829286,599350894.6301208,105587365.25912188,596410631.311578,0.0142685969098947,0.0372230779390909,2023-10-25,266
604108954.1442631,2372404336.9772377,244243908.4891703,609375696.7503326,113915406.31943502,590012105.2606465,0.0138299071431365,0.0631482412156091,2023-10-26,267
595792871.5336359,2387724500.0560613,246040003.465568,619444574.2737675,110318894.75310148,600487918.0736202,0.0130182508821506,0.0738019347927864,2023-10-27,268
592147442.6283795,2383960236.614521,250569973.51546627,621776172.8052299,109766747.31901138,610819926.6189015,0.0130391767773494,0.046722735132656,2023-10-28,269
